start_date,start_time,finish_date,finish_time,name,username,follower_count
20180216,03:52:33.349817,20180216,03:52:33.947844,甘俊,5413488181,12001
20180216,03:52:33.956385,20180216,03:52:34.672978,闵_祥,2801811757,56081
20180216,03:52:34.682161,20180216,03:52:35.287988,应智越,6079583982,39596
20180216,03:52:35.296839,20180216,03:52:36.131670,邱治谐,6098018698,51909
20180216,03:52:36.526528,20180216,03:52:37.232054,于浩,2314247085,30672
20180216,03:52:37.240298,20180216,03:52:38.052346,黄若涵,ahan1998,23174
20180216,03:52:38.060749,20180216,03:52:38.666237,叶泓希,6065158270,100814
20180216,03:52:39.178344,20180216,03:52:39.791834,李鑫岩,5876668767,22592
20180216,03:58:01.957413,20180216,03:58:02.971412,蔡徐坤,caizicaixukun,3534290
20180216,03:58:02.981039,20180216,03:58:03.858949,Justin,5615627418,637171
20180216,03:58:04.311839,20180216,03:58:04.916639,范丞丞,5350509769,1023941
20180216,03:58:04.925535,20180216,03:58:05.610204,朱正廷,2447034645,699667
20180216,03:58:05.611122,20180216,03:58:06.247683,小鬼,DemonBoyz,1110375
20180216,03:58:08.176176,20180216,03:58:09.218119,韩沐伯,573300241,679580
20180216,03:58:09.219115,20180216,03:58:09.937477,王子异,2993307872,309577
20180216,03:58:09.946191,20180216,03:58:10.548672,李希侃,1622290293,79833
20180216,03:58:10.557876,20180216,03:58:11.572488,钱正昊,317333542,95170
20180216,03:58:11.581341,20180216,03:58:12.392966,董又霖,5737325620,179968
20180216,03:58:12.402295,20180216,03:58:13.108796,郑锐彬,2174177890,242306
20180216,03:58:13.117870,20180216,03:58:13.945487,尤长靖,3815417506,105671
20180216,03:58:13.954708,20180216,03:58:14.541468,李权哲,5836186503,378469
20180216,03:58:14.550493,20180216,03:58:15.386895,林彦俊,6068133006,72640
20180216,03:58:15.396172,20180216,03:58:15.950534,林超泽,1843589160,161703
20180216,03:58:15.959670,20180216,03:58:16.487156,于斌,3616573893,500817
20180216,03:58:16.496284,20180216,03:58:17.082331,何东东,RoyvesDovin,329593
20180216,03:58:17.090645,20180216,03:58:17.818757,朱星杰,2963966564,385144
20180216,03:58:17.829113,20180216,03:58:18.536034,周彦辰,2013783327,149791
20180216,03:58:18.537154,20180216,03:58:19.151738,丁泽仁,3284676315,470477
20180216,03:58:19.160962,20180216,03:58:19.970438,毕雯_,6412297026,337711
20180216,03:58:19.978558,20180216,03:58:20.584731,李长庚,6420604848,18874
20180216,03:58:20.585774,20180216,03:58:21.301363,陈斯琪,sunchensiqi,286022
20180216,03:58:21.310425,20180216,03:58:21.914670,罗正,6249902885,87402
20180216,03:58:21.922935,20180216,03:58:22.735206,胡致邦,jackhu9,18138
20180216,03:58:22.744037,20180216,03:58:23.861632,姜达赫,1918310471,251447
20180216,03:58:23.870004,20180216,03:58:24.578117,伽里,3084658844,45072
20180216,03:58:24.587096,20180216,03:58:25.089270,董岩磊,3162919750,213588
20180216,03:58:25.098184,20180216,03:58:25.704768,许凯皓,5344337230,65583
20180216,03:58:25.713824,20180216,03:58:26.288113,Monkey,2649141095,327950
20180216,03:58:26.296487,20180216,03:58:26.874053,徐鹤尼,3756010757,160024
20180216,03:58:26.883234,20180216,03:58:27.609117,杨非同,6244144791,23079
20180216,03:58:27.618363,20180216,03:58:28.163166,姜京佐,6137739218,53932
20180216,03:58:28.172401,20180216,03:58:28.702406,韩雍杰,5717130383,452412
20180216,03:58:28.711641,20180216,03:58:29.288871,周锐,1832883800,119768
20180216,03:58:29.298121,20180216,03:58:30.005876,左叶,5725419131,100273
20180216,03:58:30.015071,20180216,03:58:30.824132,靖佩瑶,3978251112,94202
20180216,03:58:30.834079,20180216,03:58:31.668157,张晏恺,6174856883,58753
20180216,03:58:31.677195,20180216,03:58:32.202830,陆定昊,1846225514,100431
20180216,03:58:32.211939,20180216,03:58:32.974339,朱匀天,6080076574,83247
20180216,03:58:34.727074,20180216,03:58:35.739737,张达源,2186407473,96601
20180216,03:58:35.748556,20180216,03:58:36.661520,朱匀一,2827086273,82615
20180216,03:58:36.670801,20180216,03:58:37.685529,秦子墨,5182548840,138216
20180216,03:58:37.694702,20180216,03:58:38.299212,武连杰,5722728323,16406
20180216,03:58:38.309151,20180216,03:58:38.930757,李若天,5341528427,59316
20180216,03:58:38.939511,20180216,03:58:39.528453,李俊毅,xiahjy222,9128
20180216,03:58:39.529486,20180216,03:58:40.246531,邓_怡,longnetung,16545
20180216,03:58:40.255745,20180216,03:58:40.776409,黄书豪,2729905775,32897
20180216,03:58:40.785645,20180216,03:58:41.883787,李让,1914694513,28999
20180216,03:58:41.892978,20180216,03:58:42.600453,罗杰,6412550410,45323
20180216,03:58:42.601395,20180216,03:58:43.214253,覃俊毅,6272868587,20588
20180216,03:58:43.222737,20180216,03:58:43.784910,陈义夫,5172429756,200183
20180216,03:58:43.793382,20180216,03:58:44.546118,梁辉,1921189790,1220673
20180216,03:58:44.96320180216,03:59:19.680164,20180216,03:59:20.275583,蔡徐坤,caizicaixukun,3534317
20180216,03:59:20.285340,20180216,03:59:20.898390,Justin,5615627418,637206
20180216,03:59:21.318271,20180216,03:59:21.854163,范丞丞,5350509769,1023981
20180216,03:59:21.863389,20180216,03:59:22.488247,朱正廷,2447034645,699710
20180216,03:59:22.489207,20180216,03:59:23.458236,小鬼,DemonBoyz,1110387
20180216,03:59:25.300738,20180216,03:59:25.928617,韩沐伯,573300241,679580
20180216,03:59:25.937913,20180216,03:59:26.511184,王子异,2993307872,309582
20180216,03:59:26.519932,20180216,03:59:27.554498,李希侃,1622290293,79833
20180216,03:59:27.563765,20180216,03:59:28.142239,钱正昊,317333542,95169
20180216,03:59:28.143288,20180216,03:59:28.989030,董又霖,5737325620,179973
20180216,03:59:28.997904,20180216,03:59:29.601774,郑锐彬,2174177890,242307
20180216,03:59:29.610860,20180216,03:59:30.321682,尤长靖,3815417506,105674
20180216,03:59:30.323516,20180216,03:59:30.933530,李权哲,5836186503,378493
20180216,03:59:30.942575,20180216,03:59:31.540987,林彦俊,6068133006,72641
20180216,03:59:31.549252,20180216,03:59:32.366775,林超泽,1843589160,161707
20180216,03:59:32.376097,20180216,03:59:32.931466,于斌,3616573893,500817
20180216,03:59:32.940449,20180216,03:59:33.484652,何东东,RoyvesDovin,329594
20180216,03:59:33.493244,20180216,03:59:34.104676,朱星杰,2963966564,385151
20180216,03:59:34.106241,20180216,03:59:34.722441,周彦辰,2013783327,149795
20180216,03:59:34.731317,20180216,03:59:35.336992,丁泽仁,3284676315,470496
20180216,03:59:35.346172,20180216,03:59:35.859570,毕雯_,6412297026,337732
20180216,03:59:35.868282,20180216,03:59:36.666542,李长庚,6420604848,18874
20180216,03:59:36.675761,20180216,03:59:37.282974,陈斯琪,sunchensiqi,286021
20180216,03:59:37.292141,20180216,03:59:38.716394,罗正,6249902885,87403
20180216,03:59:38.725503,20180216,03:59:39.535277,胡致邦,jackhu9,18138
20180216,03:59:39.544390,20180216,03:59:40.252029,姜达赫,1918310471,251447
20180216,03:59:40.261317,20180216,03:59:40.866042,伽里,3084658844,45072
20180216,03:59:40.875276,20180216,03:59:41.482025,董岩磊,3162919750,213595
20180216,03:59:41.491253,20180216,03:59:42.094977,许凯皓,5344337230,65584
20180216,03:59:42.104032,20180216,03:59:42.710215,Monkey,2649141095,327972
20180216,03:59:42.719082,20180216,03:59:43.733620,徐鹤尼,3756010757,160024
20180216,03:59:43.742779,20180216,03:59:44.347901,杨非同,6244144791,23079
20180216,03:59:44.356832,20180216,03:59:44.965868,姜京佐,6137739218,53932
20180216,03:59:44.967697,20180216,03:59:45.679945,韩雍杰,5717130383,452412
20180216,03:59:45.681088,20180216,03:59:46.482988,周锐,1832883800,119770
20180216,03:59:46.484137,20180216,03:59:47.010718,左叶,5725419131,100273
20180216,03:59:47.011674,20180216,03:59:47.624463,靖佩瑶,3978251112,94202
20180216,03:59:47.625557,20180216,03:59:48.462306,张晏恺,6174856883,58753
20180216,03:59:48.463247,20180216,03:59:49.058446,陆定昊,1846225514,100432
20180216,03:59:49.059395,20180216,03:59:49.570382,朱匀天,6080076574,83246
20180216,03:59:51.076887,20180216,03:59:51.721527,张达源,2186407473,96601
20180216,03:59:51.730613,20180216,03:59:52.370020,朱匀一,2827086273,82614
20180216,03:59:52.378452,20180216,03:59:53.052335,秦子墨,5182548840,138216
20180216,03:59:53.060986,20180216,03:59:53.871836,武连杰,5722728323,16406
20180216,03:59:53.881520,20180216,03:59:54.486000,李若天,5341528427,59316
20180216,03:59:54.495256,20180216,03:59:55.202816,李俊毅,xiahjy222,9128
20180216,03:59:55.212108,20180216,03:59:55.817243,邓_怡,longnetung,16545
20180216,03:59:55.818243,20180216,03:59:56.351330,黄书豪,2729905775,32897
20180216,03:59:56.352236,20180216,03:59:57.045974,李让,1914694513,28999
20180216,03:59:57.054923,20180216,03:59:57.836075,罗杰,6412550410,45323
20180216,03:59:57.837047,20180216,03:59:58.679824,覃俊毅,6272868587,20588
20180216,03:59:58.680971,20180216,03:59:59.204337,陈义夫,5172429756,200181
20180216,03:59:59.205279,20180216,03:59:59.811726,梁辉,1921189790,1220673
20180216,04:00:00.221210,20180216,04:00:00.835692,李志杰,2503476185,205856
20180216,04:00:00.844898,20180216,04:00:01.933092,张奕轩,6177322910,106916
20180216,04:00:02.481383,20180216,04:00:03.094380,张艺凡,2263860665,3619
20180216,04:00:03.103550,20180216,04:00:03.886704,娄滋博,5661107484,16238
20180216,04:00:03.895191,20180216,04:00:04.521330,陈名豪,1777777723,70564
20180216,04:00:04.530541,20180216,04:00:05.341356,孙浩然,2870325572,251398
20180216,04:00:05.349938,20180216,04:00:05.934851,万宇贤,3886459987,44500
20180216,04:00:05.936802,20180216,04:00:06.643757,赵俞澈,6085275291,100778
20180216,04:00:06.645875,20180216,04:00:07.361162,吕晨瑜,3218663032,12287
20180216,04:00:07.362217,20180216,04:00:08.004949,高茂桐,5070172775,57841
20180216,04:00:08.014088,20180216,04:00:08.595530,杨羿,6415966814,3212
20180216,04:00:08.596904,20180216,04:00:09.388480,林浩楷,2731702163,271930
20180216,04:00:09.397216,20180216,04:00:10.461189,金逸涵,6183587779,2998
20180216,04:00:10.470856,20180216,04:00:11.386546,Rapen,2253667781,29819
20180216,04:00:11.395437,20180216,04:00:12.140602,孙凡杰,2631539943,24950
20180216,04:00:12.141791,20180216,04:00:12.716561,圣恩,6373106226,5047
20180216,04:00:12.725751,20180216,04:00:13.430192,朱一文,2287299500,65675
20180216,04:00:13.431130,20180216,04:00:14.044447,贝__,6091323417,56952
20180216,04:00:14.045510,20180216,04:00:14.863627,凌崎,6018600811,104268
20180216,04:00:14.864751,20180216,04:00:15.682873,周腾阳,5733457912,227801
20180216,04:00:15.683912,20180216,04:00:16.297793,何嘉庚,6419283265,33424
20180216,04:00:16.299681,20180216,04:00:17.226031,GIGEL,3922546285,167819
20180216,04:00:17.227396,20180216,04:00:17.824708,王艺龙,5984696195,27193
20180216,04:00:17.825823,20180216,04:00:18.652276,王梓豪,3833794263,119496
20180216,04:00:18.653363,20180216,04:00:19.471471,张昕,6022339821,103174
20180216,04:00:19.472508,20180216,04:00:20.005693,张宇晨,6418125010,27169
20180216,04:00:20.006639,20180216,04:00:20.699950,甘俊,5413488181,12002
20180216,04:00:20.700917,20180216,04:00:21.314515,闵_祥,2801811757,56081
20180216,04:00:21.315606,20180216,04:00:22.243092,应智越,6079583982,39596
20180216,04:00:22.252302,20180216,04:00:22.954062,邱治谐,6098018698,51909
20180216,04:00:23.473952,20180216,04:00:24.081515,于浩,2314247085,30672
20180216,04:00:24.082454,20180216,04:00:24.611206,黄若涵,ahan1998,23174
20180216,04:00:24.620377,20180216,04:00:25.209312,叶泓希,6065158270,100814
20180216,04:00:26.316971,20180216,04:00:26.938511,李鑫岩,5876668767,22592
20180216,04:00:50.248353,20180216,04:00:50.908910,蔡徐坤,caizicaixukun,3534351
20180216,04:00:50.918485,20180216,04:00:51.522756,Justin,5615627418,637247
20180216,04:00:51.942075,20180216,04:00:52.547495,范丞丞,5350509769,1024014
20180216,04:00:52.556615,20180216,04:00:53.099911,朱正廷,2447034645,699742
20180216,04:00:53.100823,20180216,04:00:53.698642,小鬼,DemonBoyz,1110391
20180216,04:00:55.306568,20180216,04:00:55.882543,韩沐伯,573300241,679578
20180216,04:00:55.891797,20180216,04:00:56.681064,王子异,2993307872,309581
20180216,04:00:56.682034,20180216,04:00:57.270099,李希侃,1622290293,79834
20180216,04:00:57.278727,20180216,04:00:57.872476,钱正昊,317333542,95170
20180216,04:00:57.881335,20180216,04:00:58.897017,董又霖,5737325620,179973
20180216,04:00:58.905485,20180216,04:00:59.416662,郑锐彬,2174177890,242309
20180216,04:00:59.425334,20180216,04:00:59.962345,尤长靖,3815417506,105674
20180216,04:00:59.971557,20180216,04:01:00.841995,李权哲,5836186503,378516
20180216,04:01:00.851776,20180216,04:01:01.474799,林彦俊,6068133006,72641
20180216,04:01:01.484024,20180216,04:01:02.275256,林超泽,1843589160,161708
20180216,04:01:02.284504,20180216,04:01:02.889021,于斌,3616573893,500816
20180216,04:01:02.897360,20180216,04:01:03.504286,何东东,RoyvesDovin,329595
20180216,04:01:03.505237,20180216,04:01:04.424915,朱星杰,2963966564,385152
20180216,04:01:04.434803,20180216,04:01:05.245711,周彦辰,2013783327,149800
20180216,04:01:05.254751,20180216,04:01:05.858214,丁泽仁,3284676315,470526
20180216,04:01:05.867403,20180216,04:01:06.460231,毕雯_,6412297026,337748
20180216,04:01:06.469700,20180216,04:01:07.016335,李长庚,6420604848,18874
20180216,04:01:07.024851,20180216,04:01:07.907659,陈斯琪,sunchensiqi,286022
20180216,04:01:07.916109,20180216,04:01:08.429594,罗正,6249902885,87402
20180216,04:01:08.438764,20180216,04:01:09.251212,胡致邦,jackhu9,18139
20180216,04:01:09.260357,20180216,04:01:10.132897,姜达赫,1918310471,251447
20180216,04:01:10.141841,20180216,04:01:10.764890,伽里,3084658844,45072
20180216,04:01:10.774079,20180216,04:01:11.388735,董岩磊,3162919750,213603
20180216,04:01:11.397915,20180216,04:01:12.003221,许凯皓,5344337230,65584
20180216,04:01:12.012251,20180216,04:01:12.535089,Monkey,2649141095,327997
20180216,04:01:12.544293,20180216,04:01:13.277815,徐鹤尼,3756010757,160024
20180216,04:01:13.286867,20180216,04:01:14.153007,杨非同,6244144791,23079
20180216,04:01:14.161523,20180216,04:01:15.074255,姜京佐,6137739218,53932
20180216,04:01:15.075308,20180216,04:01:15.689545,韩雍杰,5717130383,452412
20180216,04:01:15.690650,20180216,04:01:16.349528,周锐,1832883800,119771
20180216,04:01:16.357949,20180216,04:01:17.020389,左叶,5725419131,100272
20180216,04:01:17.028906,20180216,04:01:17.608602,靖佩瑶,3978251112,94202
20180216,04:01:17.617076,20180216,04:01:19.068534,张晏恺,6174856883,58759
20180216,04:01:19.077362,20180216,04:01:19.682749,陆定昊,1846225514,100433
20180216,04:01:19.691126,20180216,04:01:20.306333,朱匀天,6080076574,83245
20180216,04:01:22.050373,20180216,04:01:22.688827,张达源,2186407473,96601
20180216,04:01:22.697651,20180216,04:01:23.266402,朱匀一,2827086273,82613
20180216,04:01:23.275167,20180216,04:01:23.880950,秦子墨,5182548840,138215
20180216,04:01:23.890183,20180216,04:01:24.597217,武连杰,5722728323,16406
20180216,04:01:24.607239,20180216,04:01:25.212392,李若天,5341528427,59316
20180216,04:01:25.221435,20180216,04:01:25.826602,李俊毅,xiahjy222,9128
20180216,04:01:25.827528,20180216,04:01:26.441556,邓_怡,longnetung,16546
20180216,04:01:26.442549,20180216,04:01:27.056540,黄书豪,2729905775,32897
20180216,04:01:27.065825,20180216,04:01:27.669935,李让,1914694513,28999
20180216,04:01:27.679160,20180216,04:01:28.386604,罗杰,6412550410,45323
20180216,04:01:28.395652,20180216,04:01:28.913613,覃俊毅,6272868587,20589
20180216,04:01:28.922536,20180216,04:01:29.717549,陈义夫,5172429756,200181
20180216,04:01:29.718552,20180216,04:01:30.640381,梁辉,1921189790,1220672
20180216,04:01:31.058667,20180216,04:01:31.765589,李志杰,2503476185,205856
20180216,04:01:31.774576,20180216,04:01:32.319881,张奕轩,6177322910,106916
20180216,04:01:32.798040,20180216,04:01:33.460674,张艺凡,2263860665,3619
20180216,04:01:33.469842,20180216,04:01:34.223364,娄滋博,5661107484,16239
20180216,04:01:34.224293,20180216,04:01:35.042419,陈名豪,1777777723,70564
20180216,04:01:35.051611,20180216,04:01:35.759441,孙浩然,2870325572,251400
20180216,04:01:35.760415,20180216,04:01:36.783441,万宇贤,3886459987,44500
20180216,04:01:36.784408,20180216,04:01:37.704338,赵俞澈,6085275291,100778
20180216,04:01:37.705318,20180216,04:01:38.833079,吕晨瑜,3218663032,12287
20180216,04:01:38.834054,20180216,04:01:39.427131,高茂桐,5070172775,57841
20180216,04:01:39.428081,20180216,04:01:39.946886,杨羿,6415966814,3211
20180216,04:01:39.947812,20180216,04:01:43.092017,林浩楷,2731702163,271930
20180216,04:01:43.093102,20180216,04:01:44.361001,金逸涵,6183587779,2998
20180216,04:01:44.361962,20180216,04:01:45.282659,Rapen,2253667781,29819
20180216,04:01:45.283680,20180216,04:01:45.992077,孙凡杰,2631539943,24950
20180216,04:01:45.993003,20180216,04:01:46.614441,圣恩,6373106226,5047
20180216,04:01:46.615470,20180216,04:01:47.162519,朱一文,2287299500,65675
20180216,04:01:47.163507,20180216,04:01:47.762857,贝__,6091323417,56952
20180216,04:01:47.763848,20180216,04:01:48.356476,凌崎,6018600811,104268
20180216,04:01:48.357388,20180216,04:01:48.968496,周腾阳,5733457912,227801
20180216,04:01:48.969477,20180216,04:01:49.583823,何嘉庚,6419283265,33424
20180216,04:01:49.584818,20180216,04:01:50.403238,GIGEL,3922546285,167819
20180216,04:01:50.404191,20180216,04:01:51.020595,王艺龙,5984696195,27192
20180216,04:01:51.021523,20180216,04:01:52.384430,王梓豪,3833794263,119496
20180216,04:01:52.385428,20180216,04:01:52.895829,张昕,6022339821,103174
20180216,04:01:52.896836,20180216,04:01:53.536422,张宇晨,6418125010,27169
20180216,04:01:53.537537,20180216,04:01:54.288197,甘俊,5413488181,12001
20180216,04:01:54.289236,20180216,04:01:54.908555,闵_祥,2801811757,56081
20180216,04:01:54.909508,20180216,04:01:55.829930,应智越,6079583982,39596
20180216,04:01:55.839173,20180216,04:01:56.445591,邱治谐,6098018698,51909
20180216,04:01:56.841559,20180216,04:01:57.777768,于浩,2314247085,30672
20180216,04:01:57.778642,20180216,04:01:58.684011,黄若涵,ahan1998,23174
20180216,04:01:58.685032,20180216,04:01:59.541384,叶泓希,6065158270,100814
